Latitude,Longitude,Comment,G&G-DO
1134.73264,12229.35746,1,5.597
1134.73264,12229.35746,1,5.598
1134.73264,12229.35746,1,5.599
1134.73264,12229.35746,1,5.601
1134.73264,12229.35746,1,5.603
1134.73264,12229.35746,1,5.604
1134.73264,12229.35746,1,5.602
1134.73264,12229.35746,1,5.6
1134.73264,12229.35746,1,5.599
1134.73264,12229.35746,1,5.594
1134.73264,12229.35746,1,5.592
1134.73264,12229.35746,1,5.601
1134.73264,12229.35746,1,5.6
1134.73264,12229.35746,1,5.598
1134.73264,12229.35746,1,5.6
1134.73264,12229.35746,1,5.601
1134.73264,12229.35746,1,5.6
1134.73264,12229.35746,1,5.595
1134.73264,12229.35746,1,5.597
1134.73264,12229.35746,1,5.598
1134.73264,12229.35746,1,5.594
1134.73264,12229.35746,1,5.592
1134.73264,12229.35746,1,5.594
1134.73264,12229.35746,1,5.595
1134.73264,12229.35746,1,5.592
1134.73264,12229.35746,1,5.587
1134.73264,12229.35746,1,5.583
1134.73264,12229.35746,1,5.586
1134.73264,12229.35746,1,5.583
1134.73264,12229.35746,1,5.581
1134.73264,12229.35746,1,5.579
1134.73264,12229.35746,1,5.583
1134.73264,12229.35746,1,5.585
1134.73264,12229.35746,1,5.582
1134.73264,12229.35746,1,5.583
1134.73264,12229.35746,1,5.583
1134.73264,12229.35746,1,5.589
1134.73264,12229.35746,1,5.598
1134.73264,12229.35746,1,5.605
1134.73264,12229.35746,1,5.616
1134.73264,12229.35746,1,5.618
1134.73264,12229.35746,1,5.623
1134.73264,12229.35746,1,5.631
1134.73264,12229.35746,1,5.636
1134.73264,12229.35746,1,5.637
1134.73264,12229.35746,1,5.633
1134.73264,12229.35746,1,5.632
1134.73264,12229.35746,1,5.634
1134.73264,12229.35746,1,5.631
1134.73264,12229.35746,1,5.621
1134.73264,12229.35746,1,5.621
1134.73264,12229.35746,1,5.623
1134.73264,12229.35746,1,5.617
1134.73264,12229.35746,1,5.618
1134.73264,12229.35746,1,5.621
1134.73264,12229.35746,1,5.619
1134.73264,12229.35746,1,5.619
1134.73264,12229.35746,1,5.621
1134.73264,12229.35746,1,5.625
1134.73264,12229.35746,1,5.629
1134.73264,12229.35746,1,5.634
1134.73264,12229.35746,1,5.634
1134.73264,12229.35746,1,5.632
1134.73264,12229.35746,1,5.632
1134.73264,12229.35746,1,5.639
1134.73264,12229.35746,1,5.641
1134.73264,12229.35746,1,5.643
1134.73264,12229.35746,1,5.648
1134.73264,12229.35746,1,5.654
1134.73264,12229.35746,1,5.654
1134.73264,12229.35746,1,5.657
1134.73264,12229.35746,1,5.653
1134.73264,12229.35746,1,5.651
1134.73264,12229.35746,1,5.655
1134.73264,12229.35746,1,5.65
1134.73264,12229.35746,1,5.648
1134.73264,12229.35746,1,5.651
1134.73264,12229.35746,1,5.653
1134.73264,12229.35746,1,5.653
1134.73264,12229.35746,1,5.649
1134.73264,12229.35746,1,5.648
1134.73264,12229.35746,1,5.655
1134.73264,12229.35746,1,5.656
1134.73264,12229.35746,1,5.656
1134.73264,12229.35746,1,5.662
1134.73264,12229.35746,1,5.669
1134.73264,12229.35746,1,5.674
1134.73264,12229.35746,1,5.678
1134.73264,12229.35746,1,5.677
1134.73264,12229.35746,1,5.676
1134.73264,12229.35746,1,5.677
1134.73264,12229.35746,1,5.67
1134.73264,12229.35746,1,5.67
1134.73264,12229.35746,1,5.673
1134.73264,12229.35746,1,5.671
1134.73264,12229.35746,1,5.674
1134.73264,12229.35746,1,5.674
1134.73264,12229.35746,1,5.672
1134.73264,12229.35746,1,5.671
1134.73264,12229.35746,1,5.67
1134.73264,12229.35746,1,5.678
1134.73264,12229.35746,1,5.673
1134.73264,12229.35746,1,5.675
1134.73264,12229.35746,1,5.676
1134.73264,12229.35746,1,5.681
1134.73264,12229.35746,1,5.68
1134.73264,12229.35746,1,5.683
1134.73264,12229.35746,1,5.68
1134.73264,12229.35746,1,5.679
1134.73264,12229.35746,1,5.682
1134.73264,12229.35746,1,5.679
1134.73264,12229.35746,1,5.685
1134.73264,12229.35746,1,5.686
1134.73264,12229.35746,1,5.689
1134.73264,12229.35746,1,5.692
1134.73264,12229.35746,1,5.693
1134.73264,12229.35746,1,5.693
1134.73264,12229.35746,1,5.688
1134.73264,12229.35746,1,5.687
1134.73264,12229.35746,1,5.687
1134.73264,12229.35746,1,5.688
1134.73264,12229.35746,1,5.685
1134.73264,12229.35746,1,5.686
1134.73264,12229.35746,1,5.69
1134.73264,12229.35746,1,5.687
1134.73264,12229.35746,1,5.692
1134.73264,12229.35746,1,5.696
1134.73264,12229.35746,1,5.688
1134.73264,12229.35746,1,5.691
1134.73264,12229.35746,1,5.692
1134.73264,12229.35746,1,5.69
1134.73264,12229.35746,1,5.689
1134.73264,12229.35746,1,5.691
1134.73264,12229.35746,1,5.691
1134.73264,12229.35746,1,5.695
1134.73264,12229.35746,1,5.693
1134.73264,12229.35746,1,5.692
1134.73264,12229.35746,1,5.691
1134.73264,12229.35746,1,5.69
1134.73264,12229.35746,1,5.688
1134.73264,12229.35746,1,5.693
1134.73264,12229.35746,1,5.693
1134.73264,12229.35746,1,5.696
1134.73264,12229.35746,1,5.697
1134.73264,12229.35746,1,5.695
1134.73264,12229.35746,1,5.695
1134.73264,12229.35746,1,5.696
1134.73264,12229.35746,1,5.7
1134.73264,12229.35746,1,5.697
1134.73264,12229.35746,1,5.697
