Latitude,Longitude,Comment,Chl-a [µg/l],Depth [m]
1134.73264,12229.35746,1,3.457,-0.047
1134.73264,12229.35746,1,3.428,-0.045
1134.73264,12229.35746,1,3.279,-0.046
1134.73264,12229.35746,1,3.328,-0.046
1134.73264,12229.35746,1,3.393,-0.048
1134.73264,12229.35746,1,3.514,-0.047
1134.73264,12229.35746,1,3.514,-0.047
1134.73264,12229.35746,1,3.45,-0.047
1134.73264,12229.35746,1,3.407,-0.047
1134.73264,12229.35746,1,3.471,-0.048
1134.73264,12229.35746,1,3.35,-0.05
1134.73264,12229.35746,1,3.393,-0.052
1134.73264,12229.35746,1,3.321,-0.051
1134.73264,12229.35746,1,3.357,-0.053
1134.73264,12229.35746,1,3.3,-0.055
1134.73264,12229.35746,1,3.193,-0.058
1134.73264,12229.35746,1,3.257,-0.059
1134.73264,12229.35746,1,3.336,-0.056
1134.73264,12229.35746,1,3.364,-0.05
1134.73264,12229.35746,1,3.314,-0.04
1134.73264,12229.35746,1,3.314,-0.032
1134.73264,12229.35746,1,3.307,-0.027
1134.73264,12229.35746,1,3.25,-0.019
1134.73264,12229.35746,1,3.207,-0.011
1134.73264,12229.35746,1,3.143,-0.007
1134.73264,12229.35746,1,3.229,-0.003
1134.73264,12229.35746,1,3.207,-0.003
1134.73264,12229.35746,1,3.286,0.0
1134.73264,12229.35746,1,3.214,0.002
1134.73264,12229.35746,1,3.286,0.002
1134.73264,12229.35746,1,3.293,0.006
1134.73264,12229.35746,1,3.257,0.01
1134.73264,12229.35746,1,3.236,0.012
1134.73264,12229.35746,1,3.1,0.019
1134.73264,12229.35746,1,2.986,0.023
1134.73264,12229.35746,1,3.008,0.025
1134.73264,12229.35746,1,3.122,0.028
1134.73264,12229.35746,1,3.179,0.028
1134.73264,12229.35746,1,3.172,0.031
1134.73264,12229.35746,1,3.15,0.034
1134.73264,12229.35746,1,3.179,0.035
1134.73264,12229.35746,1,3.214,0.037
1134.73264,12229.35746,1,3.25,0.038
1134.73264,12229.35746,1,3.222,0.039
1134.73264,12229.35746,1,3.279,0.039
1134.73264,12229.35746,1,3.314,0.039
1134.73264,12229.35746,1,3.264,0.041
1134.73264,12229.35746,1,3.307,0.044
1134.73264,12229.35746,1,3.3,0.048
1134.73264,12229.35746,1,3.3,0.053
1134.73264,12229.35746,1,3.478,0.059
1134.73264,12229.35746,1,3.4,0.065
1134.73264,12229.35746,1,3.279,0.071
1134.73264,12229.35746,1,3.264,0.075
1134.73264,12229.35746,1,3.193,0.08
1134.73264,12229.35746,1,3.186,0.087
1134.73264,12229.35746,1,3.186,0.087
1134.73264,12229.35746,1,3.279,0.09
1134.73264,12229.35746,1,3.172,0.092
1134.73264,12229.35746,1,3.129,0.093
1134.73264,12229.35746,1,3.15,0.093
1134.73264,12229.35746,1,3.136,0.093
1134.73264,12229.35746,1,3.179,0.091
1134.73264,12229.35746,1,3.015,0.09
1134.73264,12229.35746,1,3.043,0.091
1134.73264,12229.35746,1,3.136,0.091
1134.73264,12229.35746,1,3.207,0.094
1134.73264,12229.35746,1,3.165,0.096
1134.73264,12229.35746,1,3.157,0.097
1134.73264,12229.35746,1,3.214,0.098
1134.73264,12229.35746,1,3.129,0.097
1134.73264,12229.35746,1,3.193,0.099
1134.73264,12229.35746,1,3.257,0.101
1134.73264,12229.35746,1,3.214,0.103
1134.73264,12229.35746,1,3.165,0.104
1134.73264,12229.35746,1,3.143,0.108
1134.73264,12229.35746,1,3.229,0.111
1134.73264,12229.35746,1,3.243,0.114
1134.73264,12229.35746,1,3.236,0.119
1134.73264,12229.35746,1,3.279,0.123
1134.73264,12229.35746,1,3.25,0.13
1134.73264,12229.35746,1,3.186,0.135
1134.73264,12229.35746,1,3.143,0.139
1134.73264,12229.35746,1,3.129,0.141
1134.73264,12229.35746,1,3.193,0.138
1134.73264,12229.35746,1,3.157,0.139
1134.73264,12229.35746,1,3.214,0.138
1134.73264,12229.35746,1,3.207,0.138
1134.73264,12229.35746,1,3.229,0.14
1134.73264,12229.35746,1,3.079,0.14
1134.73264,12229.35746,1,3.108,0.142
1134.73264,12229.35746,1,3.25,0.145
1134.73264,12229.35746,1,3.136,0.146
1134.73264,12229.35746,1,3.122,0.149
1134.73264,12229.35746,1,3.115,0.149
1134.73264,12229.35746,1,3.129,0.15
1134.73264,12229.35746,1,3.079,0.15
1134.73264,12229.35746,1,3.122,0.151
1134.73264,12229.35746,1,3.136,0.154
1134.73264,12229.35746,1,3.143,0.159
1134.73264,12229.35746,1,3.3,0.164
1134.73264,12229.35746,1,3.293,0.168
1134.73264,12229.35746,1,3.25,0.172
1134.73264,12229.35746,1,3.229,0.174
1134.73264,12229.35746,1,3.172,0.175
1134.73264,12229.35746,1,3.157,0.175
1134.73264,12229.35746,1,3.143,0.177
1134.73264,12229.35746,1,3.108,0.179
1134.73264,12229.35746,1,3.2,0.182
1134.73264,12229.35746,1,3.279,0.188
1134.73264,12229.35746,1,3.328,0.191
1134.73264,12229.35746,1,3.25,0.194
1134.73264,12229.35746,1,3.179,0.196
1134.73264,12229.35746,1,3.179,0.197
1134.73264,12229.35746,1,3.157,0.201
1134.73264,12229.35746,1,3.2,0.205
1134.73264,12229.35746,1,3.2,0.205
1134.73264,12229.35746,1,3.3,0.208
1134.73264,12229.35746,1,3.307,0.212
1134.73264,12229.35746,1,3.229,0.216
1134.73264,12229.35746,1,3.222,0.217
1134.73264,12229.35746,1,3.271,0.22
1134.73264,12229.35746,1,3.172,0.221
1134.73264,12229.35746,1,3.115,0.222
1134.73264,12229.35746,1,3.093,0.226
1134.73264,12229.35746,1,3.157,0.227
1134.73264,12229.35746,1,3.293,0.23
1134.73264,12229.35746,1,3.492,0.233
1134.73264,12229.35746,1,3.428,0.235
1134.73264,12229.35746,1,3.385,0.238
1134.73264,12229.35746,1,3.464,0.24
1134.73264,12229.35746,1,3.428,0.242
1134.73264,12229.35746,1,3.385,0.246
1134.73264,12229.35746,1,3.307,0.249
1134.73264,12229.35746,1,3.207,0.252
1134.73264,12229.35746,1,3.229,0.254
1134.73264,12229.35746,1,3.3,0.256
1134.73264,12229.35746,1,3.414,0.258
1134.73264,12229.35746,1,3.507,0.26
1134.73264,12229.35746,1,3.642,0.26
1134.73264,12229.35746,1,3.564,0.261
1134.73264,12229.35746,1,3.464,0.26
1134.73264,12229.35746,1,3.414,0.26
1134.73264,12229.35746,1,3.4,0.259
1134.73264,12229.35746,1,3.385,0.257
1134.73264,12229.35746,1,3.421,0.256
1134.73264,12229.35746,1,3.571,0.257
1134.73264,12229.35746,1,3.599,0.257
1134.73264,12229.35746,1,3.578,0.258
1134.73264,12229.35746,1,3.614,0.26
1134.73264,12229.35746,1,3.507,0.263
1134.73264,12229.35746,1,3.514,0.266
1134.73264,12229.35746,1,3.592,0.267
1134.73264,12229.35746,1,3.428,0.27
1134.73264,12229.35746,1,3.414,0.272
1134.73264,12229.35746,1,3.5,0.273
1134.73264,12229.35746,1,3.564,0.275
1134.73264,12229.35746,1,3.45,0.275
1134.73264,12229.35746,1,3.357,0.276
1134.73264,12229.35746,1,3.514,0.278
1134.73264,12229.35746,1,3.564,0.278
1134.73264,12229.35746,1,3.699,0.28
1134.73264,12229.35746,1,3.628,0.281
1134.73264,12229.35746,1,3.564,0.283
1134.73264,12229.35746,1,3.671,0.285
1134.73264,12229.35746,1,3.592,0.287
1134.73264,12229.35746,1,3.521,0.288
1134.73264,12229.35746,1,3.507,0.291
1134.73264,12229.35746,1,3.507,0.291
1134.73264,12229.35746,1,3.4,0.294
1134.73264,12229.35746,1,3.343,0.296
1134.73264,12229.35746,1,3.557,0.296
1134.73264,12229.35746,1,3.656,0.297
1134.73264,12229.35746,1,3.656,0.297
