Latitude,Longitude,Comment,Depth,G&G-DO
1134.73264N,12229.35746E,1,-0.047,5.597
1134.73264N,12229.35746E,1,-0.045,5.598
1134.73264N,12229.35746E,1,-0.046,5.599
1134.73264N,12229.35746E,1,-0.046,5.601
1134.73264N,12229.35746E,1,-0.048,5.603
1134.73264N,12229.35746E,1,-0.047,5.604
1134.73264N,12229.35746E,1,-0.047,5.602
1134.73264N,12229.35746E,1,-0.047,5.6
1134.73264N,12229.35746E,1,-0.047,5.599
1134.73264N,12229.35746E,1,-0.048,5.594
1134.73264N,12229.35746E,1,-0.05,5.592
1134.73264N,12229.35746E,1,-0.052,5.601
1134.73264N,12229.35746E,1,-0.051,5.6
1134.73264N,12229.35746E,1,-0.053,5.598
1134.73264N,12229.35746E,1,-0.055,5.6
1134.73264N,12229.35746E,1,-0.058,5.601
1134.73264N,12229.35746E,1,-0.059,5.6
1134.73264N,12229.35746E,1,-0.056,5.595
1134.73264N,12229.35746E,1,-0.05,5.597
1134.73264N,12229.35746E,1,-0.04,5.598
1134.73264N,12229.35746E,1,-0.032,5.594
1134.73264N,12229.35746E,1,-0.027,5.592
1134.73264N,12229.35746E,1,-0.019,5.594
1134.73264N,12229.35746E,1,-0.011,5.595
1134.73264N,12229.35746E,1,-0.007,5.592
1134.73264N,12229.35746E,1,-0.003,5.587
1134.73264N,12229.35746E,1,-0.003,5.583
1134.73264N,12229.35746E,1,0.0,5.586
1134.73264N,12229.35746E,1,0.002,5.583
1134.73264N,12229.35746E,1,0.002,5.581
1134.73264N,12229.35746E,1,0.006,5.579
1134.73264N,12229.35746E,1,0.01,5.583
1134.73264N,12229.35746E,1,0.012,5.585
1134.73264N,12229.35746E,1,0.019,5.582
1134.73264N,12229.35746E,1,0.023,5.583
1134.73264N,12229.35746E,1,0.025,5.583
1134.73264N,12229.35746E,1,0.028,5.589
1134.73264N,12229.35746E,1,0.028,5.598
1134.73264N,12229.35746E,1,0.031,5.605
1134.73264N,12229.35746E,1,0.034,5.616
1134.73264N,12229.35746E,1,0.035,5.618
1134.73264N,12229.35746E,1,0.037,5.623
1134.73264N,12229.35746E,1,0.038,5.631
1134.73264N,12229.35746E,1,0.039,5.636
1134.73264N,12229.35746E,1,0.039,5.637
1134.73264N,12229.35746E,1,0.039,5.633
1134.73264N,12229.35746E,1,0.041,5.632
1134.73264N,12229.35746E,1,0.044,5.634
1134.73264N,12229.35746E,1,0.048,5.631
1134.73264N,12229.35746E,1,0.053,5.621
1134.73264N,12229.35746E,1,0.059,5.621
1134.73264N,12229.35746E,1,0.065,5.623
1134.73264N,12229.35746E,1,0.071,5.617
1134.73264N,12229.35746E,1,0.075,5.618
1134.73264N,12229.35746E,1,0.08,5.621
1134.73264N,12229.35746E,1,0.087,5.619
1134.73264N,12229.35746E,1,0.087,5.619
1134.73264N,12229.35746E,1,0.09,5.621
1134.73264N,12229.35746E,1,0.092,5.625
1134.73264N,12229.35746E,1,0.093,5.629
1134.73264N,12229.35746E,1,0.093,5.634
1134.73264N,12229.35746E,1,0.093,5.634
1134.73264N,12229.35746E,1,0.091,5.632
1134.73264N,12229.35746E,1,0.09,5.632
1134.73264N,12229.35746E,1,0.091,5.639
1134.73264N,12229.35746E,1,0.091,5.641
1134.73264N,12229.35746E,1,0.094,5.643
1134.73264N,12229.35746E,1,0.096,5.648
1134.73264N,12229.35746E,1,0.097,5.654
1134.73264N,12229.35746E,1,0.098,5.654
1134.73264N,12229.35746E,1,0.097,5.657
1134.73264N,12229.35746E,1,0.099,5.653
1134.73264N,12229.35746E,1,0.101,5.651
1134.73264N,12229.35746E,1,0.103,5.655
1134.73264N,12229.35746E,1,0.104,5.65
1134.73264N,12229.35746E,1,0.108,5.648
1134.73264N,12229.35746E,1,0.111,5.651
1134.73264N,12229.35746E,1,0.114,5.653
1134.73264N,12229.35746E,1,0.119,5.653
1134.73264N,12229.35746E,1,0.123,5.649
1134.73264N,12229.35746E,1,0.13,5.648
1134.73264N,12229.35746E,1,0.135,5.655
1134.73264N,12229.35746E,1,0.139,5.656
1134.73264N,12229.35746E,1,0.141,5.656
1134.73264N,12229.35746E,1,0.138,5.662
1134.73264N,12229.35746E,1,0.139,5.669
1134.73264N,12229.35746E,1,0.138,5.674
1134.73264N,12229.35746E,1,0.138,5.678
1134.73264N,12229.35746E,1,0.14,5.677
1134.73264N,12229.35746E,1,0.14,5.676
1134.73264N,12229.35746E,1,0.142,5.677
1134.73264N,12229.35746E,1,0.145,5.67
1134.73264N,12229.35746E,1,0.146,5.67
1134.73264N,12229.35746E,1,0.149,5.673
1134.73264N,12229.35746E,1,0.149,5.671
1134.73264N,12229.35746E,1,0.15,5.674
1134.73264N,12229.35746E,1,0.15,5.674
1134.73264N,12229.35746E,1,0.151,5.672
1134.73264N,12229.35746E,1,0.154,5.671
1134.73264N,12229.35746E,1,0.159,5.67
1134.73264N,12229.35746E,1,0.164,5.678
1134.73264N,12229.35746E,1,0.168,5.673
1134.73264N,12229.35746E,1,0.172,5.675
1134.73264N,12229.35746E,1,0.174,5.676
1134.73264N,12229.35746E,1,0.175,5.681
1134.73264N,12229.35746E,1,0.175,5.68
1134.73264N,12229.35746E,1,0.177,5.683
1134.73264N,12229.35746E,1,0.179,5.68
1134.73264N,12229.35746E,1,0.182,5.679
1134.73264N,12229.35746E,1,0.188,5.682
1134.73264N,12229.35746E,1,0.191,5.679
1134.73264N,12229.35746E,1,0.194,5.685
1134.73264N,12229.35746E,1,0.196,5.686
1134.73264N,12229.35746E,1,0.197,5.689
1134.73264N,12229.35746E,1,0.201,5.692
1134.73264N,12229.35746E,1,0.205,5.693
1134.73264N,12229.35746E,1,0.205,5.693
1134.73264N,12229.35746E,1,0.208,5.688
1134.73264N,12229.35746E,1,0.212,5.687
1134.73264N,12229.35746E,1,0.216,5.687
1134.73264N,12229.35746E,1,0.217,5.688
1134.73264N,12229.35746E,1,0.22,5.685
1134.73264N,12229.35746E,1,0.221,5.686
1134.73264N,12229.35746E,1,0.222,5.69
1134.73264N,12229.35746E,1,0.226,5.687
1134.73264N,12229.35746E,1,0.227,5.692
1134.73264N,12229.35746E,1,0.23,5.696
1134.73264N,12229.35746E,1,0.233,5.688
1134.73264N,12229.35746E,1,0.235,5.691
1134.73264N,12229.35746E,1,0.238,5.692
1134.73264N,12229.35746E,1,0.24,5.69
1134.73264N,12229.35746E,1,0.242,5.689
1134.73264N,12229.35746E,1,0.246,5.691
1134.73264N,12229.35746E,1,0.249,5.691
1134.73264N,12229.35746E,1,0.252,5.695
1134.73264N,12229.35746E,1,0.254,5.693
1134.73264N,12229.35746E,1,0.256,5.692
1134.73264N,12229.35746E,1,0.258,5.691
1134.73264N,12229.35746E,1,0.26,5.69
1134.73264N,12229.35746E,1,0.26,5.688
1134.73264N,12229.35746E,1,0.261,5.693
1134.73264N,12229.35746E,1,0.26,5.693
1134.73264N,12229.35746E,1,0.26,5.696
1134.73264N,12229.35746E,1,0.259,5.697
1134.73264N,12229.35746E,1,0.257,5.695
1134.73264N,12229.35746E,1,0.256,5.695
1134.73264N,12229.35746E,1,0.257,5.696
1134.73264N,12229.35746E,1,0.257,5.7
1134.73264N,12229.35746E,1,0.258,5.697
1134.73264N,12229.35746E,1,0.26,5.697
1134.73264N,12229.35746E,1,0.263,5.698
1134.73264N,12229.35746E,1,0.266,5.697
1134.73264N,12229.35746E,1,0.267,5.699
1134.73264N,12229.35746E,1,0.27,5.699
1134.73264N,12229.35746E,1,0.272,5.698
1134.73264N,12229.35746E,1,0.273,5.698
1134.73264N,12229.35746E,1,0.275,5.701
1134.73264N,12229.35746E,1,0.275,5.697
1134.73264N,12229.35746E,1,0.276,5.699
1134.73264N,12229.35746E,1,0.278,5.698
1134.73264N,12229.35746E,1,0.278,5.703
1134.73264N,12229.35746E,1,0.28,5.703
