Latitude,Longitude,Comment,Sal.,Depth [m]
1134.73264,12229.35746,1,18.563,-0.047
1134.73264,12229.35746,1,18.539,-0.045
1134.73264,12229.35746,1,18.531,-0.046
1134.73264,12229.35746,1,18.512,-0.046
1134.73264,12229.35746,1,18.506,-0.048
1134.73264,12229.35746,1,18.507,-0.047
1134.73264,12229.35746,1,18.511,-0.047
1134.73264,12229.35746,1,18.515,-0.047
1134.73264,12229.35746,1,18.515,-0.047
1134.73264,12229.35746,1,18.523,-0.048
1134.73264,12229.35746,1,18.53,-0.05
1134.73264,12229.35746,1,18.532,-0.052
1134.73264,12229.35746,1,18.538,-0.051
1134.73264,12229.35746,1,18.544,-0.053
1134.73264,12229.35746,1,18.547,-0.055
1134.73264,12229.35746,1,18.545,-0.058
1134.73264,12229.35746,1,18.545,-0.059
1134.73264,12229.35746,1,18.554,-0.056
1134.73264,12229.35746,1,18.596,-0.05
1134.73264,12229.35746,1,18.587,-0.04
1134.73264,12229.35746,1,18.602,-0.032
1134.73264,12229.35746,1,18.643,-0.027
1134.73264,12229.35746,1,18.685,-0.019
1134.73264,12229.35746,1,18.771,-0.011
1134.73264,12229.35746,1,18.796,-0.007
1134.73264,12229.35746,1,18.822,-0.003
1134.73264,12229.35746,1,18.826,-0.003
1134.73264,12229.35746,1,18.845,0.0
1134.73264,12229.35746,1,18.995,0.002
1134.73264,12229.35746,1,19.285,0.002
1134.73264,12229.35746,1,19.502,0.006
1134.73264,12229.35746,1,19.629,0.01
1134.73264,12229.35746,1,19.747,0.012
1134.73264,12229.35746,1,20.105,0.019
1134.73264,12229.35746,1,20.331,0.023
1134.73264,12229.35746,1,20.417,0.025
1134.73264,12229.35746,1,20.323,0.028
1134.73264,12229.35746,1,20.277,0.028
1134.73264,12229.35746,1,20.174,0.031
1134.73264,12229.35746,1,20.152,0.034
1134.73264,12229.35746,1,20.184,0.035
1134.73264,12229.35746,1,20.165,0.037
1134.73264,12229.35746,1,20.145,0.038
1134.73264,12229.35746,1,20.172,0.039
1134.73264,12229.35746,1,20.233,0.039
1134.73264,12229.35746,1,20.346,0.039
1134.73264,12229.35746,1,20.557,0.041
1134.73264,12229.35746,1,20.56,0.044
1134.73264,12229.35746,1,20.814,0.048
1134.73264,12229.35746,1,21.208,0.053
1134.73264,12229.35746,1,21.33,0.059
1134.73264,12229.35746,1,21.453,0.065
1134.73264,12229.35746,1,21.554,0.071
1134.73264,12229.35746,1,21.695,0.075
1134.73264,12229.35746,1,21.667,0.08
1134.73264,12229.35746,1,21.777,0.087
1134.73264,12229.35746,1,21.777,0.087
1134.73264,12229.35746,1,21.81,0.09
1134.73264,12229.35746,1,21.812,0.092
1134.73264,12229.35746,1,21.7,0.093
1134.73264,12229.35746,1,21.667,0.093
1134.73264,12229.35746,1,21.769,0.093
1134.73264,12229.35746,1,21.889,0.091
1134.73264,12229.35746,1,22.065,0.09
1134.73264,12229.35746,1,22.132,0.091
1134.73264,12229.35746,1,22.172,0.091
1134.73264,12229.35746,1,22.177,0.094
1134.73264,12229.35746,1,22.183,0.096
1134.73264,12229.35746,1,22.174,0.097
1134.73264,12229.35746,1,22.221,0.098
1134.73264,12229.35746,1,22.262,0.097
1134.73264,12229.35746,1,22.378,0.099
1134.73264,12229.35746,1,22.451,0.101
1134.73264,12229.35746,1,22.523,0.103
1134.73264,12229.35746,1,22.727,0.104
1134.73264,12229.35746,1,22.801,0.108
1134.73264,12229.35746,1,22.888,0.111
1134.73264,12229.35746,1,23.0,0.114
1134.73264,12229.35746,1,23.095,0.119
