Latitude,Longitude,Comment,Temp. [degC],Depth [m]
1134.73264,12229.35746,1,30.129,-0.047
1134.73264,12229.35746,1,30.125,-0.045
1134.73264,12229.35746,1,30.121,-0.046
1134.73264,12229.35746,1,30.12,-0.046
1134.73264,12229.35746,1,30.117,-0.048
1134.73264,12229.35746,1,30.113,-0.047
1134.73264,12229.35746,1,30.11,-0.047
1134.73264,12229.35746,1,30.106,-0.047
1134.73264,12229.35746,1,30.102,-0.047
1134.73264,12229.35746,1,30.099,-0.048
1134.73264,12229.35746,1,30.099,-0.05
1134.73264,12229.35746,1,30.098,-0.052
1134.73264,12229.35746,1,30.099,-0.051
1134.73264,12229.35746,1,30.104,-0.053
1134.73264,12229.35746,1,30.107,-0.055
1134.73264,12229.35746,1,30.117,-0.058
1134.73264,12229.35746,1,30.125,-0.059
1134.73264,12229.35746,1,30.133,-0.056
1134.73264,12229.35746,1,30.144,-0.05
1134.73264,12229.35746,1,30.155,-0.04
1134.73264,12229.35746,1,30.14,-0.032
1134.73264,12229.35746,1,30.131,-0.027
1134.73264,12229.35746,1,30.125,-0.019
1134.73264,12229.35746,1,30.113,-0.011
1134.73264,12229.35746,1,30.091,-0.007
1134.73264,12229.35746,1,30.066,-0.003
1134.73264,12229.35746,1,30.051,-0.003
1134.73264,12229.35746,1,30.041,0.0
1134.73264,12229.35746,1,30.033,0.002
1134.73264,12229.35746,1,30.031,0.002
1134.73264,12229.35746,1,30.027,0.006
1134.73264,12229.35746,1,30.024,0.01
1134.73264,12229.35746,1,30.025,0.012
1134.73264,12229.35746,1,30.021,0.019
1134.73264,12229.35746,1,30.011,0.023
1134.73264,12229.35746,1,30.006,0.025
1134.73264,12229.35746,1,30.003,0.028
1134.73264,12229.35746,1,30.001,0.028
1134.73264,12229.35746,1,30.0,0.031
1134.73264,12229.35746,1,30.001,0.034
1134.73264,12229.35746,1,30.003,0.035
1134.73264,12229.35746,1,30.002,0.037
1134.73264,12229.35746,1,30.003,0.038
1134.73264,12229.35746,1,30.004,0.039
1134.73264,12229.35746,1,30.004,0.039
1134.73264,12229.35746,1,30.003,0.039
1134.73264,12229.35746,1,30.003,0.041
1134.73264,12229.35746,1,30.001,0.044
1134.73264,12229.35746,1,30.002,0.048
1134.73264,12229.35746,1,30.003,0.053
1134.73264,12229.35746,1,30.005,0.059
1134.73264,12229.35746,1,30.009,0.065
1134.73264,12229.35746,1,30.012,0.071
1134.73264,12229.35746,1,30.019,0.075
1134.73264,12229.35746,1,30.027,0.08
1134.73264,12229.35746,1,30.031,0.087
1134.73264,12229.35746,1,30.031,0.087
1134.73264,12229.35746,1,30.042,0.09
1134.73264,12229.35746,1,30.053,0.092
1134.73264,12229.35746,1,30.059,0.093
1134.73264,12229.35746,1,30.062,0.093
1134.73264,12229.35746,1,30.068,0.093
1134.73264,12229.35746,1,30.073,0.091
1134.73264,12229.35746,1,30.076,0.09
1134.73264,12229.35746,1,30.076,0.091
1134.73264,12229.35746,1,30.077,0.091
1134.73264,12229.35746,1,30.076,0.094
1134.73264,12229.35746,1,30.075,0.096
1134.73264,12229.35746,1,30.075,0.097
1134.73264,12229.35746,1,30.075,0.098
1134.73264,12229.35746,1,30.077,0.097
1134.73264,12229.35746,1,30.078,0.099
1134.73264,12229.35746,1,30.078,0.101
1134.73264,12229.35746,1,30.078,0.103
1134.73264,12229.35746,1,30.079,0.104
1134.73264,12229.35746,1,30.08,0.108
1134.73264,12229.35746,1,30.081,0.111
1134.73264,12229.35746,1,30.082,0.114
1134.73264,12229.35746,1,30.085,0.119
1134.73264,12229.35746,1,30.086,0.123
1134.73264,12229.35746,1,30.087,0.13
1134.73264,12229.35746,1,30.088,0.135
1134.73264,12229.35746,1,30.09,0.139
1134.73264,12229.35746,1,30.092,0.141
1134.73264,12229.35746,1,30.096,0.138
1134.73264,12229.35746,1,30.098,0.139
1134.73264,12229.35746,1,30.099,0.138
1134.73264,12229.35746,1,30.099,0.138
1134.73264,12229.35746,1,30.1,0.14
1134.73264,12229.35746,1,30.1,0.14
1134.73264,12229.35746,1,30.102,0.142
1134.73264,12229.35746,1,30.103,0.145
1134.73264,12229.35746,1,30.105,0.146
1134.73264,12229.35746,1,30.108,0.149
1134.73264,12229.35746,1,30.111,0.149
1134.73264,12229.35746,1,30.114,0.15
1134.73264,12229.35746,1,30.116,0.15
1134.73264,12229.35746,1,30.12,0.151
1134.73264,12229.35746,1,30.125,0.154
1134.73264,12229.35746,1,30.127,0.159
1134.73264,12229.35746,1,30.126,0.164
1134.73264,12229.35746,1,30.125,0.168
1134.73264,12229.35746,1,30.124,0.172
1134.73264,12229.35746,1,30.124,0.174
1134.73264,12229.35746,1,30.123,0.175
1134.73264,12229.35746,1,30.122,0.175
1134.73264,12229.35746,1,30.122,0.177
1134.73264,12229.35746,1,30.122,0.179
1134.73264,12229.35746,1,30.122,0.182
1134.73264,12229.35746,1,30.124,0.188
1134.73264,12229.35746,1,30.126,0.191
1134.73264,12229.35746,1,30.129,0.194
1134.73264,12229.35746,1,30.129,0.196
1134.73264,12229.35746,1,30.13,0.197
1134.73264,12229.35746,1,30.132,0.201
1134.73264,12229.35746,1,30.133,0.205
1134.73264,12229.35746,1,30.133,0.205
1134.73264,12229.35746,1,30.136,0.208
1134.73264,12229.35746,1,30.139,0.212
1134.73264,12229.35746,1,30.142,0.216
1134.73264,12229.35746,1,30.145,0.217
1134.73264,12229.35746,1,30.144,0.22
1134.73264,12229.35746,1,30.146,0.221
1134.73264,12229.35746,1,30.146,0.222
1134.73264,12229.35746,1,30.147,0.226
1134.73264,12229.35746,1,30.147,0.227
1134.73264,12229.35746,1,30.147,0.23
1134.73264,12229.35746,1,30.147,0.233
1134.73264,12229.35746,1,30.146,0.235
1134.73264,12229.35746,1,30.146,0.238
1134.73264,12229.35746,1,30.147,0.24
1134.73264,12229.35746,1,30.147,0.242
1134.73264,12229.35746,1,30.147,0.246
1134.73264,12229.35746,1,30.147,0.249
1134.73264,12229.35746,1,30.148,0.252
1134.73264,12229.35746,1,30.15,0.254
1134.73264,12229.35746,1,30.151,0.256
1134.73264,12229.35746,1,30.152,0.258
1134.73264,12229.35746,1,30.153,0.26
1134.73264,12229.35746,1,30.153,0.26
1134.73264,12229.35746,1,30.153,0.261
1134.73264,12229.35746,1,30.154,0.26
1134.73264,12229.35746,1,30.154,0.26
1134.73264,12229.35746,1,30.154,0.259
1134.73264,12229.35746,1,30.155,0.257
1134.73264,12229.35746,1,30.155,0.256
1134.73264,12229.35746,1,30.156,0.257
1134.73264,12229.35746,1,30.157,0.257
1134.73264,12229.35746,1,30.158,0.258
1134.73264,12229.35746,1,30.157,0.26
1134.73264,12229.35746,1,30.159,0.263
1134.73264,12229.35746,1,30.16,0.266
1134.73264,12229.35746,1,30.161,0.267
1134.73264,12229.35746,1,30.161,0.27
1134.73264,12229.35746,1,30.162,0.272
1134.73264,12229.35746,1,30.162,0.273
1134.73264,12229.35746,1,30.162,0.275
1134.73264,12229.35746,1,30.162,0.275
1134.73264,12229.35746,1,30.162,0.276
1134.73264,12229.35746,1,30.162,0.278
1134.73264,12229.35746,1,30.162,0.278
1134.73264,12229.35746,1,30.161,0.28
1134.73264,12229.35746,1,30.161,0.281
1134.73264,12229.35746,1,30.163,0.283
1134.73264,12229.35746,1,30.163,0.285
1134.73264,12229.35746,1,30.163,0.287
1134.73264,12229.35746,1,30.163,0.288
1134.73264,12229.35746,1,30.163,0.291
1134.73264,12229.35746,1,30.163,0.291
1134.73264,12229.35746,1,30.163,0.294
1134.73264,12229.35746,1,30.164,0.296
1134.73264,12229.35746,1,30.164,0.296
1134.73264,12229.35746,1,30.164,0.297
1134.73264,12229.35746,1,30.165,0.297
1134.73264,12229.35746,1,30.165,0.297
1134.73264,12229.35746,1,30.165,0.297
1134.73264,12229.35746,1,30.165,0.296
1134.73264,12229.35746,1,30.166,0.295
1134.73264,12229.35746,1,30.165,0.295
1134.73264,12229.35746,1,30.165,0.296
1134.73264,12229.35746,1,30.166,0.297
1134.73264,12229.35746,1,30.165,0.298
1134.73264,12229.35746,1,30.165,0.298
