Latitude,Longitude,Comment,Turb. [FTU],Depth [m]
1134.73264,12229.35746,1,12.011,-0.047
1134.73264,12229.35746,1,12.078,-0.045
1134.73264,12229.35746,1,12.038,-0.046
1134.73264,12229.35746,1,11.809,-0.046
1134.73264,12229.35746,1,12.145,-0.048
1134.73264,12229.35746,1,12.051,-0.047
1134.73264,12229.35746,1,12.334,-0.047
1134.73264,12229.35746,1,12.563,-0.047
1134.73264,12229.35746,1,12.698,-0.047
1134.73264,12229.35746,1,12.415,-0.048
1134.73264,12229.35746,1,12.226,-0.05
1134.73264,12229.35746,1,12.28,-0.052
1134.73264,12229.35746,1,12.132,-0.051
1134.73264,12229.35746,1,12.294,-0.053
1134.73264,12229.35746,1,12.698,-0.055
1134.73264,12229.35746,1,12.873,-0.058
1134.73264,12229.35746,1,12.563,-0.059
1134.73264,12229.35746,1,12.536,-0.056
1134.73264,12229.35746,1,12.886,-0.05
1134.73264,12229.35746,1,12.496,-0.04
1134.73264,12229.35746,1,11.984,-0.032
1134.73264,12229.35746,1,11.876,-0.027
1134.73264,12229.35746,1,11.688,-0.019
1134.73264,12229.35746,1,11.876,-0.011
1134.73264,12229.35746,1,11.97,-0.007
1134.73264,12229.35746,1,11.58,-0.003
1134.73264,12229.35746,1,11.257,-0.003
1134.73264,12229.35746,1,10.988,0.0
1134.73264,12229.35746,1,11.015,0.002
1134.73264,12229.35746,1,11.083,0.002
1134.73264,12229.35746,1,11.163,0.006
1134.73264,12229.35746,1,11.19,0.01
1134.73264,12229.35746,1,11.042,0.012
1134.73264,12229.35746,1,10.948,0.019
1134.73264,12229.35746,1,10.894,0.023
1134.73264,12229.35746,1,10.572,0.025
1134.73264,12229.35746,1,10.169,0.028
1134.73264,12229.35746,1,10.021,0.028
1134.73264,12229.35746,1,10.236,0.031
1134.73264,12229.35746,1,10.37,0.034
1134.73264,12229.35746,1,10.397,0.035
1134.73264,12229.35746,1,10.316,0.037
1134.73264,12229.35746,1,10.303,0.038
1134.73264,12229.35746,1,10.195,0.039
1134.73264,12229.35746,1,10.182,0.039
1134.73264,12229.35746,1,10.182,0.039
1134.73264,12229.35746,1,10.182,0.041
1134.73264,12229.35746,1,10.075,0.044
1134.73264,12229.35746,1,10.101,0.048
1134.73264,12229.35746,1,10.155,0.053
1134.73264,12229.35746,1,9.887,0.059
1134.73264,12229.35746,1,9.766,0.065
1134.73264,12229.35746,1,9.712,0.071
1134.73264,12229.35746,1,9.43,0.075
1134.73264,12229.35746,1,9.417,0.08
1134.73264,12229.35746,1,9.484,0.087
1134.73264,12229.35746,1,9.484,0.087
1134.73264,12229.35746,1,9.349,0.09
1134.73264,12229.35746,1,9.041,0.092
1134.73264,12229.35746,1,9.041,0.093
1134.73264,12229.35746,1,8.947,0.093
1134.73264,12229.35746,1,9.041,0.093
1134.73264,12229.35746,1,9.188,0.091
1134.73264,12229.35746,1,9.202,0.09
1134.73264,12229.35746,1,8.987,0.091
1134.73264,12229.35746,1,8.746,0.091
1134.73264,12229.35746,1,8.692,0.094
1134.73264,12229.35746,1,8.692,0.096
1134.73264,12229.35746,1,8.571,0.097
1134.73264,12229.35746,1,8.598,0.098
1134.73264,12229.35746,1,8.531,0.097
1134.73264,12229.35746,1,8.518,0.099
1134.73264,12229.35746,1,8.357,0.101
1134.73264,12229.35746,1,8.37,0.103
1134.73264,12229.35746,1,8.37,0.104
1134.73264,12229.35746,1,8.357,0.108
1134.73264,12229.35746,1,8.705,0.111
1134.73264,12229.35746,1,8.88,0.114
1134.73264,12229.35746,1,8.799,0.119
