Latitude,Longitude,Comment,G&G-DO,Depth [m]
1134.73264,12229.35746,1,5.597,-0.0417
1134.73264,12229.35746,1,5.598,-0.045
1134.73264,12229.35746,1,5.599,-0.046
1134.73264,12229.35746,1,5.601,-0.046
1134.73264,12229.35746,1,5.603,-0.048
1134.73264,12229.35746,1,5.604,-0.047
1134.73264,12229.35746,1,5.602,-0.047
1134.73264,12229.35746,1,5.6,-0.047
1134.73264,12229.35746,1,5.599,-0.047
1134.73264,12229.35746,1,5.594,-0.048
1134.73264,12229.35746,1,5.592,-0.05
1134.73264,12229.35746,1,5.601,-0.052
1134.73264,12229.35746,1,5.6,-0.051
1134.73264,12229.35746,1,5.598,-0.053
1134.73264,12229.35746,1,5.6,-0.055
1134.73264,12229.35746,1,5.601,-0.058
1134.73264,12229.35746,1,5.6,-0.059
1134.73264,12229.35746,1,5.595,-0.056
1134.73264,12229.35746,1,5.597,-0.05
1134.73264,12229.35746,1,5.598,-0.04
1134.73264,12229.35746,1,5.594,-0.032
1134.73264,12229.35746,1,5.592,-0.027
1134.73264,12229.35746,1,5.594,-0.019
1134.73264,12229.35746,1,5.595,-0.011
1134.73264,12229.35746,1,5.592,-0.007
1134.73264,12229.35746,1,5.587,-0.003
1134.73264,12229.35746,1,5.583,-0.003
1134.73264,12229.35746,1,5.586,0
1134.73264,12229.35746,1,5.583,0.002
1134.73264,12229.35746,1,5.581,0.002
1134.73264,12229.35746,1,5.579,0.006
1134.73264,12229.35746,1,5.583,0.01
1134.73264,12229.35746,1,5.585,0.012
1134.73264,12229.35746,1,5.582,0.019
1134.73264,12229.35746,1,5.583,0.023
1134.73264,12229.35746,1,5.583,0.025
1134.73264,12229.35746,1,5.589,0.028
1134.73264,12229.35746,1,5.598,0.028
1134.73264,12229.35746,1,5.605,0.031
1134.73264,12229.35746,1,5.616,0.034
1134.73264,12229.35746,1,5.618,0.035
1134.73264,12229.35746,1,5.623,0.037
1134.73264,12229.35746,1,5.631,0.038
1134.73264,12229.35746,1,5.636,0.039
1134.73264,12229.35746,1,5.637,0.039
1134.73264,12229.35746,1,5.633,0.039
1134.73264,12229.35746,1,5.632,0.041
1134.73264,12229.35746,1,5.634,0.044
1134.73264,12229.35746,1,5.631,0.048
1134.73264,12229.35746,1,5.621,0.053
1134.73264,12229.35746,1,5.621,0.059
1134.73264,12229.35746,1,5.623,0.065
1134.73264,12229.35746,1,5.617,0.071
1134.73264,12229.35746,1,5.618,0.075
1134.73264,12229.35746,1,5.621,0.08
1134.73264,12229.35746,1,5.619,0.087
1134.73264,12229.35746,1,5.619,0.087
1134.73264,12229.35746,1,5.621,0.09
1134.73264,12229.35746,1,5.625,0.092
1134.73264,12229.35746,1,5.629,0.093
1134.73264,12229.35746,1,5.634,0.093
1134.73264,12229.35746,1,5.634,0.093
1134.73264,12229.35746,1,5.632,0.091
1134.73264,12229.35746,1,5.632,0.09
1134.73264,12229.35746,1,5.639,0.091
1134.73264,12229.35746,1,5.641,0.091
1134.73264,12229.35746,1,5.643,0.094
1134.73264,12229.35746,1,5.648,0.096
1134.73264,12229.35746,1,5.654,0.097
1134.73264,12229.35746,1,5.654,0.098
1134.73264,12229.35746,1,5.657,0.097
1134.73264,12229.35746,1,5.653,0.099
1134.73264,12229.35746,1,5.651,0.101
1134.73264,12229.35746,1,5.655,0.103
1134.73264,12229.35746,1,5.65,0.104
1134.73264,12229.35746,1,5.648,0.108
1134.73264,12229.35746,1,5.651,0.111
1134.73264,12229.35746,1,5.653,0.114
1134.73264,12229.35746,1,5.653,0.119
1134.73264,12229.35746,1,5.649,0.123
1134.73264,12229.35746,1,5.648,0.13
1134.73264,12229.35746,1,5.655,0.135
1134.73264,12229.35746,1,5.656,0.139
1134.73264,12229.35746,1,5.656,0.141
1134.73264,12229.35746,1,5.662,0.138
1134.73264,12229.35746,1,5.669,0.139
1134.73264,12229.35746,1,5.674,0.138
1134.73264,12229.35746,1,5.678,0.138
1134.73264,12229.35746,1,5.677,0.14
1134.73264,12229.35746,1,5.676,0.14
1134.73264,12229.35746,1,5.677,0.142
1134.73264,12229.35746,1,5.67,0.145
1134.73264,12229.35746,1,5.67,0.146
1134.73264,12229.35746,1,5.673,0.149
1134.73264,12229.35746,1,5.671,0.149
1134.73264,12229.35746,1,5.674,0.15
1134.73264,12229.35746,1,5.674,0.15
1134.73264,12229.35746,1,5.672,0.151
1134.73264,12229.35746,1,5.671,0.154
1134.73264,12229.35746,1,5.67,0.159
1134.73264,12229.35746,1,5.678,0.164
1134.73264,12229.35746,1,5.673,0.168
1134.73264,12229.35746,1,5.675,0.172
1134.73264,12229.35746,1,5.676,0.174
1134.73264,12229.35746,1,5.681,0.175
1134.73264,12229.35746,1,5.68,0.175
1134.73264,12229.35746,1,5.683,0.177
1134.73264,12229.35746,1,5.68,0.179
1134.73264,12229.35746,1,5.679,0.182
1134.73264,12229.35746,1,5.682,0.188
1134.73264,12229.35746,1,5.679,0.191
1134.73264,12229.35746,1,5.685,0.194
1134.73264,12229.35746,1,5.686,0.196
1134.73264,12229.35746,1,5.689,0.197
1134.73264,12229.35746,1,5.692,0.201
1134.73264,12229.35746,1,5.693,0.205
1134.73264,12229.35746,1,5.693,0.205
1134.73264,12229.35746,1,5.688,0.208
1134.73264,12229.35746,1,5.687,0.212
1134.73264,12229.35746,1,5.687,0.216
1134.73264,12229.35746,1,5.688,0.217
1134.73264,12229.35746,1,5.685,0.22
1134.73264,12229.35746,1,5.686,0.221
1134.73264,12229.35746,1,5.69,0.222
1134.73264,12229.35746,1,5.687,0.226
1134.73264,12229.35746,1,5.692,0.227
1134.73264,12229.35746,1,5.696,0.23
1134.73264,12229.35746,1,5.688,0.233
1134.73264,12229.35746,1,5.691,0.235
1134.73264,12229.35746,1,5.692,0.238
1134.73264,12229.35746,1,5.69,0.24
1134.73264,12229.35746,1,5.689,0.242
1134.73264,12229.35746,1,5.691,0.246
1134.73264,12229.35746,1,5.691,0.249
1134.73264,12229.35746,1,5.695,0.252
1134.73264,12229.35746,1,5.693,0.254
1134.73264,12229.35746,1,5.692,0.256
1134.73264,12229.35746,1,5.691,0.258
1134.73264,12229.35746,1,5.69,0.26
1134.73264,12229.35746,1,5.688,0.26
1134.73264,12229.35746,1,5.693,0.261
1134.73264,12229.35746,1,5.693,0.26
1134.73264,12229.35746,1,5.696,0.26
1134.73264,12229.35746,1,5.697,0.259
1134.73264,12229.35746,1,5.695,0.257
1134.73264,12229.35746,1,5.695,0.256
1134.73264,12229.35746,1,5.696,0.257
1134.73264,12229.35746,1,5.7,0.257
1134.73264,12229.35746,1,5.697,0.258
1134.73264,12229.35746,1,5.697,0.26
1134.73264,12229.35746,1,5.698,0.263
1134.73264,12229.35746,1,5.697,0.266
1134.73264,12229.35746,1,5.699,0.267
1134.73264,12229.35746,1,5.699,0.27
1134.73264,12229.35746,1,5.698,0.272
1134.73264,12229.35746,1,5.698,0.273
